id,yield
15000,5365.488209297875
15001,6584.470434226071
15002,4733.580542366594
15003,6137.68135819454
15004,7051.246384993458
15005,5306.216352197034
15006,8341.368295257314
15007,5675.589499762006
15008,7204.354430612044
15009,6271.618239668911
15010,6311.869721979509
15011,6338.0000675117735
15012,6569.7879058813005
15013,7686.853666745939
15014,4324.93269874243
15015,6240.28516201877
15016,6249.940490089475
15017,4419.331895055318
15018,6560.017931900209
15019,6223.123381176532
15020,5414.71397076227
15021,5795.380346313001
15022,6422.174142077444
15023,7683.735273922394
15024,6067.085909957396
15025,7407.798401368145
15026,5046.307032376239
15027,6831.990643052689
15028,3706.2071097340777
15029,2457.4971556405158
15030,6892.210956125048
15031,4702.9314325655105
15032,8401.5998630388
15033,5075.3770456296525
15034,7324.223610311011
15035,5112.669472114317
15036,7368.182779054837
15037,5339.353566071927
15038,5928.7054274576585
15039,7842.785622642896
15040,8024.356956135637
15041,5876.1614206119475
15042,3127.0723153111103
15043,6115.429494267046
15044,7414.3242807190645
15045,5694.068094948139
15046,6293.167716863056
15047,4286.063194038012
15048,7197.289537101315
15049,7116.781224307675
15050,7011.591026814356
15051,6284.243456725193
15052,5467.918208839045
15053,4221.949148798737
15054,3995.527439799137
15055,6775.3416690855665
15056,5050.697602839821
15057,8176.059976976527
15058,5561.939448433096
15059,6159.234979196506
15060,5439.74095869989
15061,7586.334949952652
15062,5643.849206653206
15063,6220.913294585192
15064,6507.407435272592
15065,7350.249636912927
15066,7448.009072539778
15067,5814.6882405627075
15068,6564.168634241662
15069,6803.229753154372
15070,3237.4131300861836
15071,3379.287921509237
15072,6414.199360297342
15073,5280.2856065150345
15074,4552.719202124359
15075,7463.849094644607
15076,7124.4372442542
15077,4122.888837481233
15078,6504.848465544543
15079,5816.675706892366
15080,5279.870812003592
15081,5853.033942406621
15082,3537.9299047659133
15083,2467.4195865521015
15084,6056.535440038289
15085,7090.72854261922
15086,7323.19567403222
15087,7737.018070969875
15088,5283.626722532161
15089,6089.453973641636
15090,6653.517513925328
15091,6409.240845623889
15092,6136.120631233894
15093,6741.416817716903
15094,4756.681086327633
15095,5789.294509171959
15096,6624.444954463267
15097,8174.898725534921
15098,7253.525389819729
15099,7460.696493285949
15100,3852.3858304167284
15101,4773.106507948235
15102,5298.117841277458
15103,5954.103382090654
15104,5184.243384424501
15105,5227.3222797230555
15106,7402.8713702744835
15107,6647.804296106327
15108,3854.9344325063357
15109,4495.809901322354
15110,8032.776648847653
15111,7611.532720375742
15112,4037.68226462686
15113,5735.472542180802
15114,5839.378045926489
15115,5323.044326450289
15116,6572.424719280747
15117,5842.2192470962755
15118,6971.788215030675
15119,5068.657707187987
15120,7886.789148478241
15121,6048.050968292172
15122,7494.837625515012
15123,5098.976233145693
15124,5785.697516360784
15125,7325.339265157126
15126,4556.9067696524635
15127,7363.10211719393
15128,4390.853375339991
15129,7286.3391995528245
15130,7895.30263923016
15131,5680.575575369277
15132,8035.2242440962855
15133,6430.057246345249
15134,4217.9551343482635
15135,4860.407768964662
15136,6691.933661054457
15137,4535.93730811881
15138,5341.472429427216
15139,7243.037549956214
15140,6539.528053527796
15141,6793.378127645596
15142,4709.36214234975
15143,6743.873614245696
15144,5958.765970519617
15145,8353.418943380695
15146,7613.861889143878
15147,5581.805913460749
15148,7116.533059704408
15149,5836.539781899559
15150,6115.88807396714
15151,7471.121643572302
15152,6339.167072188348
15153,6141.346257883163
15154,8078.8545010078715
15155,6610.5839875553565
15156,5835.934058314107
15157,7659.365847959547
15158,3948.2431300403096
15159,4676.635294618308
15160,4633.617991856455
15161,4951.560213787116
15162,3395.4228594647543
